"gene_ID","functional_annoation","Module"
"CRO-05G011710","4-(cytidine 5'-phospho)-2-C-methyl-D-erithritol kinase","IPAP"
"CRO-05G012040","Protein of unknown function (DUF760)","IPAP"
"CRO-05G016350","TSL-kinase interacting protein","IPAP"
"CRO-05G020030","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein","IPAP"
"CRO-05G022290","conserved hypothetical protein","IPAP"
"CRO-05G028800","UDP-Glycosyltransferase superfamily protein","IPAP"
"CRO-05G028810","UDP-Glycosyltransferase superfamily protein","IPAP"
"CRO-05G029380","Phosphoinositide-specific phospholipase C family protein","IPAP"
"CRO-05G030370","HMG-box (high mobility group) DNA-binding family protein","IPAP"
"CRO-05G033040","AGAMOUS-like","IPAP"
"CRO-06G000540","NADP-malic enzyme","IPAP"
"CRO-06G003880","Ras-related small GTP-binding family protein","IPAP"
"CRO-06G008140","Calcium-binding EF-hand family protein","IPAP"
"CRO-06G012800","myb domain protein","IPAP"
"CRO-06G016970","isopentenyl diphosphate isomerase","IPAP"
"CRO-06G020060","GroES-like zinc-binding dehydrogenase family protein","IPAP"
"CRO-06G020220","Hyccin domain containing protein","IPAP"
"CRO-06G022530","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","IPAP"
"CRO-06G023730","ARM repeat superfamily protein","IPAP"
"CRO-06G024870","ferrochelatase","IPAP"
"CRO-06G028420","Phosphoribosyltransferase family protein","IPAP"
"CRO-06G028970","WRKY family transcription factor","IPAP"
"CRO-06G033680","cytochrome B5 isoform E","IPAP"
"CRO-07G000320","Polyketide cyclase/dehydrase and lipid transport superfamily protein","IPAP"
"CRO-07G000570","NAC domain containing protein","IPAP"
"CRO-07G003540","protein binding","IPAP"
"CRO-07G005430","isoprenoid F","IPAP"
"CRO-07G007670","NAD(P)-binding Rossmann-fold superfamily protein","IPAP"
"CRO-07G007680","NAD(P)-binding Rossmann-fold superfamily protein","IPAP"
"CRO-07G010360","Cupredoxin superfamily protein","IPAP"
"CRO-07G011150","VQ motif-containing protein","IPAP"
"CRO-07G011980","Phosphoglycerate mutase family protein","IPAP"
"CRO-07G021290","myb domain protein","IPAP"
"CRO-07G022300","squamosa promoter binding protein-like","IPAP"
"CRO-08G009650","AAA domain containing protein","IPAP"
"CRO-08G009970","bromodomain","IPAP"
"CRO-08G012580","transcription factor-related","IPAP"
"CRO-08G013630","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","IPAP"
"CRO-08G015350","plastidic pyruvate kinase beta subunit","IPAP"
"CRO-08G017150","Nucleotide-diphospho-sugar transferases superfamily protein","IPAP"
"CRO-08G019970","hypothetical protein","IPAP"
"CRO-08G020500","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","IPAP"
"CRO-05G008250","Leucine-rich repeat (LRR) family protein","IPAP"
"CRO-08G020510","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","IPAP"
"CRO.S002960.1","Phototropic-responsive NPH3 family protein","IPAP"
"CRO-06G031590","Calcium-dependent lipid-binding (CaLB domain) family protein","IPAP"
"CRO.S000680.1","hypothetical protein","IPAP"
"CRO-07G008850","beta HLH protein","IPAP"
"CRO.S004240.1","hypothetical protein","IPAP"
"CRO-06G000120","RHO guanyl-nucleotide exchange factor","IPAP"
"CRO.S005070.1","RNA polymerase subunit alpha","IPAP"
"CRO-05G010990","P-glycoprotein","IPAP"
